LineNo,ExportDateTime,BRVersion,Cube,User,Entity,Parent,Cons,Scenario,Time,View,Account,Flow,Origin,IC,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,Amount
77,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D350","CTY241","None","PLT100","None","None","None","None",-992.085250000
78,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60500","Input","Import","None","D400","CTY241","None","PLT100","None","None","None","None",-4680.196833000
79,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D210","CTY241","None","PLT100","None","None","None","None",0.000000000
80,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A50010","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",23951.000000000
81,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D325","CTY241","None","PLT100","None","None","None","None",0.000000000
82,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D340","CTY241","None","PLT100","None","None","None","None",0.000000000
83,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A50200","Input","Import","None","D130","CTY241","None","PLT100","None","None","None","None",38980.000000000
84,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D350","CTY241","None","PLT100","None","None","None","None",0.000000000
85,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A87990","Input","Import","CO100","D315","CTY100","None","None","None","None","None","None",-57028.616630000
86,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D400","CTY241","None","PLT100","None","None","None","None",0.000000000
87,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A87990","Input","Import","CO105","D315","CTY241","None","None","None","None","None","None",46442.590570000
88,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A80000","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",19252.000000000
89,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D410","CTY241","None","PLT100","None","None","None","None",0.000000000
90,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A87990","Input","Import","CO231","D315","CTY241","None","None","None","None","None","None",-0.019649414
91,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A80100","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",21115.000000000
92,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D420","CTY241","None","PLT100","None","None","None","None",0.000000000
93,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64210","Input","Import","None","D340","CTY100","None","PLT100","None","None","None","None",0.000000000
94,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A80110","Input","Import","None","D315","CTY241","None","PLT100","None","None","None","None",0.000000000
95,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A89000","Input","Import","None","D355","CTY241","None","None","None","None","None","None",11014.463330000
96,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A83007","Input","Import","None","D415","CTY100","None","PLT100","None","None","None","None",0.000000000
97,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D400","CTY241","None","None","None","None","None","None",52673.831833326
98,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D410","CTY241","None","None","None","None","None","None",54629.450333335
99,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A89100","Input","Import","None","D355","CTY241","None","None","None","None","None","None",0.000000000
100,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A60000","Input","Import","None","D420","CTY241","None","None","None","None","None","None",17047.898083336
